Receptor,n,receptor,key_facet,key_parent,key_order,key_spaced
Benthic,124,Benthic,receptor,Physical Environment,Physical Environment:Benthic,    Benthic
Birds,136,Birds,receptor,NA,Birds,Birds
Fish,158,Fish,receptor,NA,Fish,Fish
Habitat,82,Habitat,receptor,Physical Environment,Physical Environment:Habitat,    Habitat
Marine Mammals,150,Marine Mammals,receptor,NA,Marine Mammals,Marine Mammals
Reptiles,92,Reptiles,receptor,NA,Reptiles,Reptiles
