PHASE,n,phase
ALL,148,All
PHAE 1,1,Phae 1
PHASE 1,47,Phase 1
PHASE 2,93,Phase 2
PHASE 3,185,Phase 3
PHASE 4,18,Phase 4
NA,150,NA
